id,company_name,best_email,website,dirigeant_prenom,dirigeant_nom,dirigeant_full,dirigeant_source,siret_trouve,siren,code_naf,date_creation,tranche_effectif,code_postal_insee,ville_insee,mentions_legales_url,status
5841133e-4800-4a11-ac97-513f0c5e1389,Falize-Blondel,contact@falizeblondel.fr,http://falizeblondel.fr/,ROMAIN,BLONDEL (BLONDEL),ROMAIN BLONDEL (BLONDEL),siret_insee,50968930300022,509689303,81.30Z,2009-01-06,12,80450,CAMON,https://falizeblondel.fr/mentions-legales/,ok_insee
29d924e5-732a-449b-9c92-1f9cd2252141,LES JARDINS DE LA RIANDERIE,didiermathon.j@gmail.com,https://www.lesjardinsdelarianderie.fr/?utm_source=gmb,,,,,,,,,,,,,no_mentions_page
83feb88c-1bcb-438b-a91f-200fff2f8795,Glennelagage,glenndassonneville@gmail.com,https://glennelagage.fr/,JORDAN GLENN,DASSONNEVILLE,JORDAN GLENN DASSONNEVILLE,siret_insee,93839113300015,938391133,46.72Z,2024-12-10,NN,22300,LANNION,https://glennelagage.fr/legal/,ok_insee
1a8322ee-f150-48b3-bd9b-0ea721d1e0fa,Cap Vert Entreprises,f.robaye@gmail.com,https://www.capvertclotures.be/,,,,,,,,,,,,,no_mentions_page
9b73e3d3-2322-431b-9392-0876e40cd36f,Extrême Élagage clôture paysagiste,vindeurstin.brandon@gmail.com,http://www.extreme-elagage.fr/?utm_source=gmb,,,,,,,,,,,,https://www.extreme-elagage.fr/?utm_source=gmb/mentions-legales,no_dirigeant_found
9960c4fe-5ac0-4e66-91cc-c6df3e442309,Bourdeleau Franck,sosordi80@outlook.fr,https://www.bourdeleau.fr/,,,,,,,,,,,,,no_mentions_page
e3398230-b08d-4747-9ae4-65c7c76513c9,Alain Hervé – Élagage & Abattage à Saint-Brieuc et Lamballe,alainhervetf@orange.fr,https://www.alainherve.fr/?utm_source=google&utm_medium=organic&utm_campaign=fiche_google&utm_content=bouton_site_web,,,,,,,,,,,,https://www.alainherve.fr/?utm_source=google&utm_medium=organic&utm_campaign=fiche_google&utm_content=bouton_site_web/mentions-legales,no_dirigeant_found
c8264266-1efb-4afa-af86-7097efb9445c,Lepage Dominique,contact@paysagiste-portail-lepage.fr,http://paysagiste-portail-lepage.com/,,,,,,,,,,,,https://www.paysagiste-portail-lepage.com/,no_dirigeant_found
48e0bc8c-58a9-4830-8390-759345a59e1a,Trancart Espaces Verts,trancartedouard@orange.fr,http://trancart.fr/,,,,,,,,,,,,http://trancart.fr/mentions-legales/,no_dirigeant_found
0d08f06d-189a-4f19-9699-32ce190d66e2,Roche Construction - Gros oeuvre - Menuiseries exterieur - Clôture,contact@roche-renov.fr,https://www.roche-renov.fr/,,,,,,,,,,,,https://www.roche-renov.fr/mentions-legales/,no_dirigeant_found
ea8458b8-2aac-4137-ab1d-8b5caa4fbfbd,Concepts Services,concepts.services57@gmail.com,https://www.concepts-services.fr/,JULIEN,COLONNA,JULIEN COLONNA,siret_insee,94292349100016,942923491,81.30Z,2025-04-07,NN,57360,AMNEVILLE,https://www.concepts-services.fr/legal/mentions-legales,ok_insee
24ea9769-cbb4-4bee-a6c7-edc9f6f84dc4,Menuiserie et Jardin,contact@menuiserieetjardin.bzh,http://menuiserieetjardin.bzh/,,,,,,,,,,,,,no_mentions_page
a639e99e-cff3-448c-bd96-44c2bdd23d9e,Stephane Sauvee,sauvee@ets-sauvee.fr,https://www.ets-sauvee.com/,,,,,,,,,,,,https://ets-sauvee.com/mentions-legales/,no_dirigeant_found
699a58c2-fdd4-4803-bd55-724d002ab7cd,GINKO,ginko80@orange.fr,https://www.paysagiste-ginko-somme.fr/,ARNAUD,DUPONT (DUPONT),ARNAUD DUPONT (DUPONT),siret_insee,50247138600016,502471386,81.30Z,2008-02-07,01,80260,FLESSELLES,https://www.paysagiste-ginko-somme.fr/mentionslegales,ok_insee
0780dc33-b1e4-49d4-a7c5-1df16b03facf,CHARME ET JARDIN,contact@charmeetjardin.fr,http://www.charmeetjardin.fr/,,,,,,,,,,,,https://www.charmeetjardin.fr/mentions-legales-et-politique-de-confidentialite/,no_dirigeant_found
bdba07f0-bc86-46ae-ad7c-c852467162e7,La Maison du Jardin,la.maisondujardin@orange.fr,http://www.lamaison-dujardin.fr/,ROMAIN,DUVAL,ROMAIN DUVAL,siret_insee,52118071100025,521180711,96.09Z,2010-04-01,NN,62290,NŒUX-LES-MINES,https://www.lamaison-dujardin.fr/mentionslegales,ok_insee
b1be9573-a05a-4eb1-8bc0-15e2788ca8f3,PSP Opale,contact@psp-opale.fr,https://psp-opale.fr/,MATHIEU LOUIS CHARLES,PLAETEVOET,MATHIEU LOUIS CHARLES PLAETEVOET,siret_insee,35058499100029,350584991,81.30Z,1989-04-01,12,59210,COUDEKERQUE-BRANCHE,https://www.psp-opale.fr/mentions-legales-et-politique-de-confidentialite/,ok_insee
64c4d125-eabe-45ac-aed9-f3c14e2947c8,Pays Vert | Jardinage et entretien des espaces verts | Paysagiste (77),contact@pays-vert.fr,https://pays-vert.fr/,QUENTIN,COLLAS (COLLAS),QUENTIN COLLAS (COLLAS),siret_insee,82408373700018,824083737,81.30Z,2016-11-23,01,77122,MONTHYON,https://pays-vert.fr/mentions-legales/,ok_insee
560ce4cb-586f-4ba2-b2f6-f713167c6d08,"Foubert Aménagement - Création de jardin et accès d'habitation (terrassement, clôture et pavage)",foubertamenagement@gmail.com,https://www.foubertamenagement.fr/,,,,,,,,,,,,https://www.foubertamenagement.fr/mentions-legales/,no_dirigeant_found
